TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
Basilisk,,,Español/Japonés,24,2,"Acción, suspenso, ninja, romance",
Battle Angel Alita,,,Japonés (Sub esp),2,1,"Sci-fi, acción, misterio",
Battle Royal,,,Español/Japonés,Pelicula,1,"Acción, supervivencia, gore",
Battle Royal 2,,,Japonés (Sub esp),Pelicula,1,"Acción, supervivencia, gore",
Bayonetta - Bloody Fate,,,Japonés (Sub esp),Pelicula,1,"Acción, sobrenatural",
Beelzebub,,,Japonés (Sub esp),60 + 2 OVA,5,"Comedia, sobrenatural",
Ben-to,,,Japonés (Sub esp),12,1,"Comedia, romance, ecchi",
Bersek,,,Japonés (Sub esp),25,2,"Acción, aventura, sobrenatural, horror.",
Berserk: Ougon Jidai Hen I,Haou no Tamago,,Japonés (Sub esp),Pelicula,1,"Acción, aventura, sobrenatural, horror.",
Berserk: Ougon Jidai Hen II,Dorudorei Koryaku,,Japonés (Sub esp),Pelicula,1,"Acción, aventura, sobrenatural, horror.",
Berserk: Ougon Jidai Hen III,Kourin,,Japonés (Sub esp),Pelicula,1,"Acción, aventura, sobrenatural, horror.",
Bey Blade,,,Español,51,3,"Fantasía, aventura",
Bey Blade V-Force,,,Español,51,3,"Fantasía, aventura",
Bible Black,,,Japonés (Sub esp),16 + Omake,2,"Hentai, sobrenatural, escolar",HENTAI (Sexo explicito) No apto para menores de 17 años.
Binbougami ga,,,Japonés (Sub esp),13,1,"Comedia, parodia, acción, fantasia",
Black Bullet,,,Japonés (Sub esp),13,1,"Acción, sobrenatural, drama, romance",
Black Cat,,,Español,26,2,"Acción, aventura, drama",
Black Heaven,,,Español/Japonés/Inglés,13,1,"Comedia, aventura, slice of life",
Black Lagoon,,Primera Temporada,Japonés (Sub esp),12,1,"Acción, suspenso,",
Black Lagoon - Roberta's  Blood Trail,,Tercera Temporada,Japonés (Sub esp),5,1,"Acción, suspenso,",
Black Lagoon The Second Barriage,,Segunda Temporada,Japonés (Sub esp),12,1,"Acción, suspenso,",
Black Rock Shooter,,,Japonés (Sub esp),Pelicula + Especial + Extras,1,"Acción, aventura, fantasía",
Black Rock Shooter TV,,,Japonés (Sub esp),8,1,"Acción, aventura, fantasía",
Blade & Soul,,,Japonés (Sub esp),13,1,"Acción, fantasia, artes marciales, ecchi",
Blassreiter,,,Japonés (Sub esp),24,2,"Sci-fi, acción, sobrenatural, suspenso",
Blazblue - Alter Memory,,,Japonés (Sub esp),12,1,"Artes marciales, acción",
Bleach,,,Japonés (Sub esp),366,19,"Acción, aventura, sobrenatural",
Bleach Movies,,,Japonés (Sub esp),4 + 2 OVA,2,"Acción, aventura, sobrenatural",
Blood +,,,Español,50,3,"Sobrenatural, acción, drama, romance",
Blood C,,,Japonés (Sub esp),12,1,"Sobrenatural, acción, gore",
Blood C The Last Dark,,,Japonés (Sub esp),Pelicula,1,"Sobrenatural, acción, gore, drama",
